NF,YF,FZMC,FZDM,HBZS,TBZS,TBLJZS
2022,12,  烘炉、风机、包装等设备制造,346,100.6,101.7,103.2
2022,12,  文化、办公用机械制造,347,102.4,102.5,100.3
2022,12,  通用零部件制造,348,99.4,100.8,102.3
2022,12,  其他通用设备制造业,349,101,102,97.3
2022,12,专用设备制造业,350,100.6,100.5,99.5
2022,12,  采矿、冶金、建筑专用设备制造,351,100.5,96.2,95.5
2022,12,  化工、木材、非金属加工专用设备制,352,100,101.8,102.4
2022,12,  食品、饮料、烟草及饲料生产专用设,353,100,99.2,100.8
2022,12,  印刷、制药、日化及日用品生产专用,354,100.4,101.7,100.9
2022,12,  纺织、服装和皮革加工专用设备制造,355,99.9,99.8,100.3
2022,12,  电子和电工机械专用设备制造,356,98.9,101.3,100.9
2022,12,  医疗仪器设备及器械制造,358,101.5,101.9,97.6
2022,12,  环保、邮政、社会公共服务及其他专,359,102,104,102.2
2022,12,汽车制造业,360,99.7,98.8,99.2
2022,12,  汽车整车制造,361,99.7,96.4,97.1
2022,12,  汽车用发动机制造,362,100,100,98
2022,12,  改装汽车制造,363,100,100,100
2022,12,  汽车零部件及配件制造,367,99.7,101.4,101.6
2022,12,铁路、船舶、航空航天和其他运输设备,370,100.2,100.3,99.8
2022,12,  铁路运输设备制造,371,100,100,100
2022,12,  城市轨道交通设备制造,372,100.4,99,98
2022,12,  船舶及相关装置制造,373,100.2,100.4,99.9
2022,12,  航空、航天器及设备制造,374,100,100,99.3
2022,12,  摩托车制造,375,100.7,100.9,98
2022,12,  自行车和残疾人座车制造,376,100.3,100.6,104.3
2022,12,电气机械和器材制造业,380,100.5,100.4,102.7
2022,12,  电机制造,381,100.3,100.4,100.1
2022,12,  输配电及控制设备制造,382,100.2,99.7,101.3
2022,12,  电线、电缆、光缆及电工器材制造,383,101.2,96.7,105.9
2022,12,  电池制造,384,100,115.7,110.8
2022,12,  家用电力器具制造,385,100.9,108,104.6
2022,12,  非电力家用器具制造,386,100,100.8,101.4
2022,12,  照明器具制造,387,100.2,96.6,97.3
2022,12,  其他电气机械及器材制造,389,99.7,98.6,102.4
2022,12,计算机、通信和其他电子设备制造业,390,100.7,108.8,103.1
2022,12,  计算机制造,391,101.1,111.2,103.5
2022,12,  通信设备制造,392,100.6,109.6,102.7
2022,12,  非专业视听设备制造,395,98.9,89,89.6
2022,12,  智能消费设备制造,396,101.9,112.6,102.7
2022,12,  电子器件制造,397,100.7,111,107
2022,12,  电子元件及电子专用材料制造,398,99.8,102.6,101.2
2022,12,  其他电子设备制造,399,100.2,101.2,101.8
2022,12,仪器仪表制造业,400,100.5,102.7,100.4
2022,12,  通用仪器仪表制造,401,99.7,99.2,99.1
2022,12,  专用仪器仪表制造,402,101.9,108.7,102.7
2022,12,  光学仪器制造,404,101.5,112.3,103.1
2022,12,  衡器制造,405,100.4,109.2,107.6
2022,12,  其他仪器仪表制造业,409,104.5,103.7,96.6
2022,12,其他制造业,410,100,99.5,105.3
2022,12,  日用杂品制造,411,100,100,107.2
2022,12,  其他未列明制造业,419,100,98.4,101.2
2022,12,废弃资源综合利用业,420,100,95,95.4
2022,12,  非金属废料和碎屑加工处理,422,100,95,95.4
2022,12,金属制品、机械和设备修理业,430,100.8,106.3,102
2022,12,  铁路、船舶、航空航天等运输设备修,434,100.8,106.4,102
2022,12,电力、热力生产和供应业,440,100.2,114,111.2
2022,12,  电力生产,441,104.3,124.3,119.9
2022,12,  电力供应,442,98.6,110.2,108
2022,12,  热力生产和供应,443,103.7,120.1,114.4
2022,12,燃气生产和供应业,450,111.6,125.3,110
2022,12,  燃气生产和供应业,451,111.6,125.3,110
2022,12,水的生产和供应业,460,99.6,107.7,116.6
2022,12,  自来水生产和供应,461,100,107.4,116.5
2022,12,  污水处理及其再生利用,462,97.5,108.6,116.9
2022,12,,232,100.1,100.5,103.9
2022,12,,246,101.5,105.8,104.4
2022,12,,262,99.2,99,104.3
2022,12,,278,100,95,95.7
2022,12,,357,100.6,100.5,99.5
2022,12,,393,100.7,108.8,103.1
2022,12,,432,100.8,106.3,102
2022,12,,433,100.8,106.3,102
2022,12,,435,100.8,106.3,102
2022,12,,436,100.8,106.3,102
2022,12,,439,100.8,106.3,102
2022,12,,312,97.3,83.1,92.8
2022,12,,379,100.2,100.3,99.8
2022,12,,431,100.8,106.3,102
